# clock_trace bin2csv rows=8000 seqEnd=8000 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
0,149249,1789832865,76,0,0,-10.1052,30.80,-0.000,15,1,1,1,1,11
1,149618,1789832866,77,0,0,-10.1092,30.80,0.000,15,1,1,1,1,11
2,150618,1789832867,78,0,0,-10.1123,31.80,0.000,15,1,1,1,1,11
3,151618,1789832868,79,0,0,-10.1149,30.80,0.000,15,1,1,1,1,11
4,152618,1789832869,80,0,0,-10.1169,30.80,0.000,15,1,1,1,1,11
5,153618,1789832870,81,0,0,-10.0685,31.80,0.000,15,1,1,1,1,11
6,154618,1789832871,82,0,0,-10.0548,31.80,0.000,15,1,1,1,1,11
7,155618,1789832872,83,0,0,-10.0688,30.80,0.000,15,1,1,1,1,11
8,156618,1789832873,84,0,0,-10.0801,31.80,0.000,15,1,1,1,1,11
9,157618,1789832874,85,0,0,-10.0891,30.80,0.000,15,1,1,1,1,11
10,158618,1789832875,86,0,0,-10.0963,31.80,0.000,15,1,1,1,1,11
11,159618,1789832876,87,0,0,-10.0963,30.80,-0.000,15,1,1,1,1,11
12,160618,1789832877,88,0,0,-10.1066,30.80,0.000,15,1,1,1,1,11
13,161618,1789832878,89,0,0,-10.1353,30.80,0.000,15,1,1,1,1,11
14,162618,1789832879,90,0,0,-10.1332,31.80,0.000,15,1,1,1,1,11
15,163618,1789832880,91,0,0,-10.1066,30.80,0.000,15,1,1,1,1,11
16,164618,1789832881,92,0,0,-10.1103,31.80,0.000,15,1,1,1,1,11
17,165618,1789832882,93,0,0,-10.1132,30.80,0.000,15,1,1,1,1,11
18,166618,1789832883,94,0,0,-10.1156,31.80,0.000,15,1,1,1,1,11
19,167618,1789832884,95,0,0,-10.1175,30.80,0.000,15,1,1,1,1,11
20,168618,1789832885,96,0,0,-10.0940,31.80,0.000,15,1,1,1,1,11
21,169618,1789832886,97,0,0,-10.1002,31.80,0.000,15,1,1,1,1,11
22,170618,1789832887,98,0,0,-10.1051,31.80,0.000,15,1,1,1,1,11
23,171618,1789832888,99,0,0,-10.1091,30.80,0.000,15,1,1,1,1,11
24,172618,1789832889,100,0,0,-10.0873,30.80,0.000,15,1,1,1,1,11
25,173618,1789832890,101,0,0,-10.0948,30.80,0.000,15,1,1,1,1,11
26,174618,1789832891,102,0,0,-10.1009,30.80,0.000,15,1,1,1,1,11
27,175618,1789832892,103,0,0,-10.1057,30.80,0.000,15,1,1,1,1,11
28,176618,1789832893,104,0,0,-10.1346,31.80,0.000,15,1,1,1,1,11
29,177618,1789832894,105,0,0,-10.1326,30.80,0.000,15,1,1,1,1,11
30,178618,1789832895,106,0,0,-10.1311,30.80,0.000,15,1,1,1,1,11
31,179618,1789832896,107,0,0,-10.1049,31.80,0.000,15,1,1,1,1,11
32,180618,1789832897,108,0,0,-10.1089,30.80,0.000,15,1,1,1,1,11
33,181618,1789832898,109,0,0,-10.0871,30.80,0.000,15,1,1,1,1,11
34,182618,1789832899,110,0,0,-10.0947,30.80,0.000,15,1,1,1,1,11
35,183618,1789832900,111,0,0,-10.1008,30.80,0.000,15,1,1,1,1,11
36,184618,1789832901,112,0,0,-10.1056,31.80,0.000,15,1,1,1,1,11
37,185618,1789832902,113,0,0,-10.1095,31.80,0.000,15,1,1,1,1,11
38,186618,1789832903,114,0,0,-10.1126,30.80,0.000,15,1,1,1,1,11
