# clock_trace bin2csv rows=49492 seqEnd=49492 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
0,88316,1789896077,1,0,0,0.0000,33.80,0.000,65535,0,1,0,1,6
1,89316,1789896078,2,0,0,-2.2000,32.80,-0.000,65535,0,1,0,1,6
2,90316,1789896079,3,0,0,-4.0600,31.80,-0.000,65535,0,1,0,1,6
3,91316,1789896080,4,0,0,-5.4480,31.80,-0.000,65535,0,1,0,1,6
4,92316,1789896082,5,0,0,-6.3584,30.80,-0.000,11,1,1,1,1,6
5,93316,1789896083,6,0,0,-7.1667,32.80,-0.000,12,1,1,1,1,6
6,94316,1789896084,7,0,0,-7.1667,32.80,-0.000,12,1,1,1,1,6
7,95316,1789896085,8,0,0,-8.3257,35.80,-0.000,13,1,1,1,1,6
8,96316,1789896086,9,0,0,-8.7106,31.80,-0.000,13,1,1,1,1,6
9,97316,1789896087,10,0,0,-9.0185,31.80,-0.000,14,1,1,1,1,6
10,98316,1789896088,11,0,0,-9.2148,32.80,-0.000,14,1,1,1,1,6
11,99316,1789896089,12,0,0,-9.3718,33.80,-0.000,14,1,1,1,1,6
12,100316,1789896090,13,0,0,-9.5475,32.80,-0.000,14,1,1,1,1,6
13,101316,1789896091,14,0,0,-9.6630,34.80,-0.000,14,1,1,1,1,7
14,102316,1789896092,15,0,0,-9.7804,34.80,-0.000,14,1,1,1,1,7
15,103316,1789896093,16,0,0,-9.8493,34.80,-0.000,14,1,1,1,1,7
16,104316,1789896094,17,0,0,-9.9294,34.80,-0.000,14,1,1,1,1,7
17,105316,1789896095,18,0,0,-9.9436,37.80,-0.000,14,1,1,1,1,7
18,106316,1789896096,19,0,0,-9.9798,40.80,-0.000,14,1,1,1,1,7
19,107316,1789896097,20,0,0,-10.0089,40.80,-0.000,15,1,1,1,1,7
20,108316,1789896098,21,0,0,-10.0821,36.80,-0.000,15,1,1,1,1,7
21,109316,1789896099,22,0,0,-10.1157,36.80,-0.000,15,1,1,1,1,7
22,110316,1789896100,23,0,0,-10.0925,35.80,-0.000,15,1,1,1,1,7
23,111316,1789896101,24,0,0,-10.0740,35.80,-0.000,15,1,1,1,1,7
