# clock_trace bin2csv rows=4971 seqEnd=4971 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
0,45680408,1789878397,45608,0,0,-9.7404,33.80,0.000,14,1,1,1,1,15
1,45681095,1789878398,45609,0,0,-9.7423,33.80,0.000,14,1,1,1,1,15
2,45682095,1789878399,45610,0,0,-9.7439,31.80,0.000,14,1,1,1,1,15
3,45683095,1789878400,45611,0,0,-9.7451,31.80,0.000,14,1,1,1,1,15
4,45684095,1789878401,45612,0,0,-9.7461,31.80,0.000,14,1,1,1,1,15
5,45685095,1789878402,45613,0,0,-9.6219,31.80,0.000,14,1,1,1,1,15
6,45686095,1789878403,45614,0,0,-9.6475,31.80,0.000,14,1,1,1,1,15
7,45687095,1789878404,45615,0,0,-9.6430,31.80,0.000,14,1,1,1,1,16
8,45688095,1789878405,45616,0,0,-9.6644,31.80,0.000,14,1,1,1,1,16
9,45689095,1789878406,45617,0,0,-9.6815,31.80,0.000,14,1,1,1,1,16
10,45690095,1789878407,45618,0,0,-9.6702,31.80,0.000,14,1,1,1,1,16
11,45691095,1789878408,45619,0,0,-9.6862,31.80,0.000,14,1,1,1,1,16
12,45692095,1789878409,45620,0,0,-9.6989,31.80,0.000,14,1,1,1,1,16
13,45693095,1789878410,45621,0,0,-9.8341,31.80,0.000,14,1,1,1,1,16
14,45694095,1789878411,45622,0,0,-9.7923,31.80,0.000,14,1,1,1,1,16
15,45695095,1789878412,45623,0,0,-9.8089,31.80,0.000,14,1,1,1,1,16
16,45696095,1789878413,45624,0,0,-9.7971,31.80,0.000,14,1,1,1,1,16
17,45697095,1789878414,45625,0,0,-9.7877,31.80,0.000,14,1,1,1,1,16
18,45698095,1789878415,45626,0,0,-9.7801,31.80,0.000,14,1,1,1,1,16
19,45699095,1789878416,45627,0,0,-9.7491,31.80,0.000,14,1,1,1,1,16
20,45700095,1789878417,45628,0,0,-9.7493,31.80,0.000,14,1,1,1,1,16
21,45701095,1789878418,45629,0,0,-9.7494,31.80,0.000,14,1,1,1,1,15
22,45702095,1789878419,45630,0,0,-9.7745,31.80,0.000,14,1,1,1,1,15
23,45703095,1789878420,45631,0,0,-9.7696,31.80,0.000,14,1,1,1,1,15
24,45704095,1789878421,45632,0,0,-9.7657,31.80,0.000,14,1,1,1,1,15
25,45705095,1789878422,45633,0,0,-9.7626,31.80,0.000,14,1,1,1,1,17
26,45706095,1789878423,45634,0,0,-9.7851,31.80,0.000,14,1,1,1,1,17
27,45707095,1789878424,45635,0,0,-9.8280,31.80,0.000,14,1,1,1,1,17
28,45708095,1789878425,45636,0,0,-9.8124,31.80,0.000,14,1,1,1,1,17
29,45709095,1789878426,45637,0,0,-9.7999,31.80,0.000,14,1,1,1,1,17
30,45710095,1789878427,45638,0,0,-9.7900,31.80,0.000,14,1,1,1,1,17
