idx,local_time,epoch,gps_ok,gps_ip,gps_stratum,gps_li,gps_refid,gps_offset_ms,gps_delay_ms,gps_disp_ms,gps_error,ali_ok,ali_ip,ali_stratum,ali_li,ali_refid,ali_offset_ms,ali_delay_ms,ali_disp_ms,ali_error,diff_gps_minus_ali_ms,clock,residual_ms,pps_fresh,stratum1
1,2026-09-17T15:03:01+00:00,1789657381.675433,1,10.81.127.14,1,0,GPSS,-31.98981285095215,6.591320037841797,16.998291015625,,1,203.107.6.88,2,0,0a892656,-22.93229103088379,55.8323860168457,10.68115234375,,-9.05752182006836,LCK,0,True,True
2,2026-09-17T15:03:11+00:00,1789657391.675515,1,10.81.127.14,1,0,GPSS,-26.73494815826416,11.856317520141602,16.998291015625,,1,203.107.6.88,2,0,0a892656,-24.974465370178223,46.22006416320801,10.68115234375,,-1.7604827880859375,LCK,0,True,True
3,2026-09-17T15:03:21+00:00,1789657401.675639,1,10.81.127.14,1,0,GPSS,-31.162023544311523,6.398677825927734,16.998291015625,,1,203.107.6.88,2,0,0a892656,-27.540206909179688,44.73066329956055,10.68115234375,,-3.621816635131836,LCK,0,True,True
4,2026-09-17T15:03:31+00:00,1789657411.675695,1,10.81.127.14,1,0,GPSS,-30.12847900390625,5.042076110839844,16.998291015625,,1,203.107.6.88,2,0,0a892656,-26.487112045288086,43.94102096557617,10.6964111328125,,-3.641366958618164,LCK,0,True,True
5,2026-09-17T15:03:41+00:00,1789657421.675759,1,10.81.127.14,1,0,GPSS,-30.884504318237305,4.4403076171875,16.998291015625,,1,203.107.6.88,3,0,646b1972,-25.749683380126953,40.956974029541016,10.0860595703125,,-5.134820938110352,LCK,0,True,True
6,2026-09-17T15:03:51+00:00,1789657431.675977,1,10.81.127.14,1,0,GPSS,-31.92877769470215,13.274669647216797,16.998291015625,,1,203.107.6.88,2,0,0a892656,-25.77388286590576,47.84369468688965,10.498046875,,-6.154894828796387,LCK,0,True,True
7,2026-09-17T15:04:01+00:00,1789657441.676236,1,10.81.127.14,1,0,GPSS,-33.99038314819336,14.823436737060547,16.998291015625,,1,203.107.6.88,3,0,646b1972,-26.629209518432617,47.98126220703125,10.1165771484375,,-7.361173629760742,LCK,0,True,True
8,2026-09-17T15:04:11+00:00,1789657451.676855,1,10.81.127.14,1,0,GPSS,-30.01260757446289,5.831718444824219,16.998291015625,,1,203.107.6.88,2,0,0a892656,-36.403775215148926,50.72617530822754,10.650634765625,,6.391167640686035,LCK,0,True,True
9,2026-09-17T15:04:21+00:00,1789657461.678200,1,10.81.127.14,1,0,GPSS,-35.14552116394043,20.864486694335938,16.998291015625,,1,203.107.6.88,2,0,0a892656,-32.933950424194336,37.543296813964844,10.650634765625,,-2.2115707397460938,LCK,0,True,True
10,2026-09-17T15:04:31+00:00,1789657471.678346,1,10.81.127.14,1,0,GPSS,-27.27198600769043,15.392780303955078,16.998291015625,,1,203.107.6.88,2,0,0a892656,-31.225204467773438,36.61823272705078,10.650634765625,,3.953218460083008,LCK,0,True,True
11,2026-09-17T15:04:41+00:00,1789657481.680375,1,10.81.127.14,1,0,GPSS,-30.490756034851074,10.81538200378418,16.998291015625,,1,203.107.6.88,2,0,0a892656,-29.48737144470215,42.720794677734375,10.68115234375,,-1.0033845901489258,LCK,0,True,True
12,2026-09-17T15:04:51+00:00,1789657491.680434,1,10.81.127.14,1,0,GPSS,-31.97479248046875,8.757591247558594,16.998291015625,,1,203.107.6.88,3,0,646b1972,-25.888800621032715,44.35229301452637,10.0250244140625,,-6.085991859436035,LCK,0,True,True
13,2026-09-17T15:05:01+00:00,1789657501.680598,1,10.81.127.14,1,0,GPSS,-30.38811683654785,6.052970886230469,16.998291015625,,1,203.107.6.88,2,0,0a892656,-26.810407638549805,47.46437072753906,10.589599609375,,-3.577709197998047,LCK,0,True,True
14,2026-09-17T15:05:11+00:00,1789657511.680672,1,10.81.127.14,1,0,GPSS,-30.252695083618164,4.8580169677734375,16.998291015625,,1,203.107.6.88,3,0,646b1972,-26.081204414367676,39.71552848815918,10.009765625,,-4.171490669250488,LCK,0,True,True
15,2026-09-17T15:05:21+00:00,1789657521.681024,1,10.81.127.14,1,0,GPSS,-31.42678737640381,7.915735244750977,16.998291015625,,1,203.107.6.88,2,0,0a892656,-28.43010425567627,39.05844688415527,10.498046875,,-2.996683120727539,LCK,0,True,True
16,2026-09-17T15:05:31+00:00,1789657531.681246,1,10.81.127.14,1,0,GPSS,-30.23993968963623,6.248712539672852,16.998291015625,,1,203.107.6.88,2,0,0a892656,-27.495741844177246,34.822702407836914,10.498046875,,-2.7441978454589844,LCK,0,True,True
17,2026-09-17T15:05:41+00:00,1789657541.681376,1,10.81.127.14,1,0,GPSS,-30.332326889038086,6.455898284912109,16.998291015625,,1,203.107.6.88,2,0,0a892656,-30.73859214782715,40.70615768432617,10.6353759765625,,0.4062652587890625,LCK,0,True,True
18,2026-09-17T15:05:51+00:00,1789657551.681592,1,10.81.127.14,1,0,GPSS,-29.87825870513916,6.768941879272461,16.998291015625,,1,203.107.6.88,3,0,646b1972,-29.37626838684082,40.0390625,10.0555419921875,,-0.5019903182983398,LCK,0,True,True
19,2026-09-17T15:06:01+00:00,1789657561.681736,1,10.81.127.14,1,0,GPSS,-31.34000301361084,6.760835647583008,16.998291015625,,1,203.107.6.88,2,0,0a892656,-26.45087242126465,44.36492919921875,10.6201171875,,-4.889130592346191,LCK,0,True,True
20,2026-09-17T15:06:11+00:00,1789657571.681994,1,10.81.127.14,1,0,GPSS,-30.662059783935547,9.62066650390625,16.998291015625,,1,203.107.6.88,3,0,646b1972,-30.310392379760742,35.82763671875,10.07080078125,,-0.3516674041748047,LCK,0,True,True
21,2026-09-17T15:06:21+00:00,1789657581.682399,1,10.81.127.14,1,0,GPSS,-31.676292419433594,7.5244903564453125,16.998291015625,,1,203.107.6.88,2,0,0a892656,-33.5078239440918,62.787532806396484,10.6658935546875,,1.8315315246582031,LCK,0,True,True
22,2026-09-17T15:06:31+00:00,1789657591.682524,1,10.81.127.14,1,0,GPSS,-29.517054557800293,6.307840347290039,16.998291015625,,1,203.107.6.88,2,0,0a892656,-28.792858123779297,42.342185974121094,10.5438232421875,,-0.7241964340209961,LCK,0,True,True
23,2026-09-17T15:06:41+00:00,1789657601.682741,1,10.81.127.14,1,0,GPSS,-30.04276752471924,10.006189346313477,16.998291015625,,1,203.107.6.88,2,0,0a892656,-30.20644187927246,46.559810638427734,10.6048583984375,,0.16367435455322266,LCK,0,True,True
24,2026-09-17T15:06:51+00:00,1789657611.682805,1,10.81.127.14,1,0,GPSS,-30.36963939666748,5.815267562866211,16.998291015625,,1,203.107.6.88,3,0,646b1972,-29.38532829284668,39.740562438964844,10.040283203125,,-0.9843111038208008,LCK,0,True,True
25,2026-09-17T15:07:01+00:00,1789657621.684798,1,10.81.127.14,1,0,GPSS,-30.529379844665527,6.756067276000977,16.998291015625,,1,203.107.6.88,2,0,0a892656,-31.0976505279541,41.53919219970703,10.5743408203125,,0.5682706832885742,LCK,0,True,True
26,2026-09-17T15:07:11+00:00,1789657631.685384,1,10.81.127.14,1,0,GPSS,-30.2579402923584,5.341529846191406,16.998291015625,,1,203.107.6.88,2,0,0a892656,-28.121232986450195,48.35653305053711,10.6048583984375,,-2.136707305908203,LCK,0,True,True
27,2026-09-17T15:07:21+00:00,1789657641.685597,1,10.81.127.14,1,0,GPSS,-29.967427253723145,5.372762680053711,16.998291015625,,1,203.107.6.88,2,0,0a892656,-28.510570526123047,39.18886184692383,10.6201171875,,-1.4568567276000977,LCK,0,True,True
28,2026-09-17T15:07:31+00:00,1789657651.685678,1,10.81.127.14,1,0,GPSS,-30.2809476852417,4.470109939575195,16.998291015625,,1,203.107.6.88,2,0,0a892656,-24.47378635406494,46.80037498474121,10.6201171875,,-5.807161331176758,LCK,0,True,True
29,2026-09-17T15:07:41+00:00,1789657661.685990,1,10.81.127.14,1,0,GPSS,-33.477783203125,10.686874389648438,16.998291015625,,1,203.107.6.88,2,0,0a892656,-33.48660469055176,46.93031311035156,10.589599609375,,0.008821487426757812,LCK,0,True,True
30,2026-09-17T15:07:51+00:00,1789657671.686906,1,10.81.127.14,1,0,GPSS,-31.198859214782715,6.309270858764648,16.998291015625,,1,203.107.6.88,2,0,0a892656,-15.619397163391113,62.067270278930664,10.6353759765625,,-15.579462051391602,LCK,0,True,True
31,2026-09-17T15:08:01+00:00,1789657681.687263,1,10.81.127.14,1,0,GPSS,-30.43508529663086,5.505561828613281,16.998291015625,,1,203.107.6.88,2,0,0a892656,-30.22599220275879,46.709537506103516,10.589599609375,,-0.2090930938720703,LCK,0,True,True
32,2026-09-17T15:08:11+00:00,1789657691.687315,1,10.81.127.14,1,0,GPSS,-29.68418598175049,5.508661270141602,16.998291015625,,1,203.107.6.88,2,0,0a892656,-27.548909187316895,36.51261329650879,10.6658935546875,,-2.1352767944335938,LCK,0,True,True
33,2026-09-17T15:08:21+00:00,1789657701.687481,1,10.81.127.14,1,0,GPSS,-30.143260955810547,7.664680480957031,16.998291015625,,1,203.107.6.88,2,0,0a892656,-29.51371669769287,45.90010643005371,10.55908203125,,-0.6295442581176758,LCK,0,True,True
34,2026-09-17T15:08:31+00:00,1789657711.688080,1,10.81.127.14,1,0,GPSS,-35.4384183883667,16.56031608581543,16.998291015625,,1,203.107.6.88,2,0,0a892656,-30.49910068511963,41.36538505554199,10.6658935546875,,-4.93931770324707,LCK,0,True,True
35,2026-09-17T15:08:41+00:00,1789657721.688272,1,10.81.127.14,1,0,GPSS,-30.36952018737793,9.421825408935547,16.998291015625,,1,203.107.6.88,2,0,0a892656,-25.94602108001709,51.00512504577637,10.589599609375,,-4.42349910736084,LCK,0,True,True
36,2026-09-17T15:08:51+00:00,1789657731.688384,1,10.81.127.14,1,0,GPSS,-32.80067443847656,10.134696960449219,16.998291015625,,1,203.107.6.88,3,0,646b1972,-23.380279541015625,47.457218170166016,10.1776123046875,,-9.420394897460938,LCK,0,True,True
37,2026-09-17T15:09:01+00:00,1789657741.689916,1,10.81.127.14,1,0,GPSS,-32.37807750701904,10.684728622436523,16.998291015625,,1,203.107.6.88,3,0,646b1972,-26.305794715881348,49.5607852935791,10.040283203125,,-6.072282791137695,LCK,0,True,True
38,2026-09-17T15:09:11+00:00,1789657751.691206,1,10.81.127.14,1,0,GPSS,-19.730687141418457,32.73510932922363,16.998291015625,,1,203.107.6.88,3,0,646b1972,-27.037858963012695,39.1840934753418,10.19287109375,,7.307171821594238,LCK,0,True,True
39,2026-09-17T15:09:21+00:00,1789657761.691318,1,10.81.127.14,1,0,GPSS,-29.471158981323242,8.362293243408203,16.998291015625,,1,203.107.6.88,3,0,646b1972,-26.854395866394043,43.70284080505371,10.040283203125,,-2.616763114929199,LCK,0,True,True
40,2026-09-17T15:09:31+00:00,1789657771.691871,1,10.81.127.14,1,0,GPSS,-30.160903930664062,6.993293762207031,16.998291015625,,1,203.107.6.88,2,0,0a892656,-33.41019153594971,41.425466537475586,10.5743408203125,,3.2492876052856445,LCK,0,True,True
41,2026-09-17T15:09:41+00:00,1789657781.693668,1,10.81.127.14,1,0,GPSS,-30.120134353637695,5.298137664794922,16.998291015625,,1,203.107.6.88,2,0,0a892656,-27.504682540893555,38.77544403076172,10.589599609375,,-2.6154518127441406,LCK,0,True,True
42,2026-09-17T15:09:51+00:00,1789657791.693815,1,10.81.127.14,1,0,GPSS,-30.08425235748291,5.411863327026367,16.998291015625,,1,203.107.6.88,2,0,0a892656,-26.768803596496582,39.215803146362305,10.55908203125,,-3.315448760986328,LCK,0,True,True
43,2026-09-17T15:10:01+00:00,1789657801.693861,1,10.81.127.14,1,0,GPSS,-29.69992160797119,5.378007888793945,16.998291015625,,1,203.107.6.88,3,0,646b1972,-34.66510772705078,45.82691192626953,10.2386474609375,,4.96518611907959,LCK,0,True,True
44,2026-09-17T15:10:11+00:00,1789657811.693904,1,10.81.127.14,1,0,GPSS,-20.92599868774414,24.033069610595703,16.998291015625,,1,203.107.6.88,3,0,646b1972,-32.91893005371094,43.54715347290039,10.25390625,,11.992931365966797,LCK,0,True,True
45,2026-09-17T15:10:21+00:00,1789657821.694263,1,10.81.127.14,1,0,GPSS,-29.460906982421875,6.709098815917969,16.998291015625,,1,203.107.6.88,3,0,646b1972,-28.800249099731445,40.65847396850586,10.0555419921875,,-0.6606578826904297,LCK,0,True,True
46,2026-09-17T15:10:31+00:00,1789657831.694353,1,10.81.127.14,1,0,GPSS,-29.837846755981445,6.208896636962891,16.998291015625,,1,203.107.6.88,2,0,0a892656,-24.117588996887207,49.12543296813965,10.528564453125,,-5.720257759094238,LCK,0,True,True
47,2026-09-17T15:10:41+00:00,1789657841.694419,1,10.81.127.14,1,0,GPSS,-33.519744873046875,12.432098388671875,16.998291015625,,1,203.107.6.88,2,0,0a892656,-27.495980262756348,43.669939041137695,10.5438232421875,,-6.023764610290527,LCK,0,True,True
48,2026-09-17T15:10:51+00:00,1789657851.694485,1,10.81.127.14,1,0,GPSS,-31.832337379455566,9.169340133666992,16.998291015625,,1,203.107.6.88,3,0,646b1972,-27.9005765914917,41.42451286315918,10.0555419921875,,-3.931760787963867,LCK,0,True,True
49,2026-09-17T15:11:01+00:00,1789657861.694532,1,10.81.127.14,1,0,GPSS,-29.84154224395752,5.675554275512695,16.998291015625,,1,203.107.6.88,2,0,0a892656,-26.48305892944336,50.2324104309082,10.5743408203125,,-3.35848331451416,LCK,0,True,True
50,2026-09-17T15:11:11+00:00,1789657871.694753,1,10.81.127.14,1,0,GPSS,-22.358417510986328,19.889354705810547,16.998291015625,,1,203.107.6.88,2,0,0a892656,-24.628520011901855,48.74444007873535,10.5133056640625,,2.2701025009155273,LCK,0,True,True
51,2026-09-17T15:11:21+00:00,1789657881.694865,1,10.81.127.14,1,0,GPSS,-29.84023094177246,10.199546813964844,16.998291015625,,1,203.107.6.88,3,0,646b1972,-32.16350078582764,39.31307792663574,10.0250244140625,,2.323269844055176,LCK,0,True,True
52,2026-09-17T15:11:31+00:00,1789657891.695167,1,10.81.127.14,1,0,GPSS,-30.683279037475586,6.159782409667969,16.998291015625,,1,203.107.6.88,3,0,646b1972,-23.589372634887695,44.96335983276367,10.07080078125,,-7.093906402587891,LCK,0,True,True
53,2026-09-17T15:11:41+00:00,1789657901.695213,1,10.81.127.14,1,0,GPSS,-28.780460357666016,7.121562957763672,16.998291015625,,1,203.107.6.88,3,0,646b1972,-31.524300575256348,35.01296043395996,10.040283203125,,2.743840217590332,LCK,0,True,True
54,2026-09-17T15:11:51+00:00,1789657911.696891,1,10.81.127.14,1,0,GPSS,-29.990434646606445,10.562896728515625,16.998291015625,,1,203.107.6.88,2,0,0a892656,-31.223297119140625,251.91974639892578,10.589599609375,,1.2328624725341797,LCK,0,True,True
55,2026-09-17T15:12:01+00:00,1789657921.697218,1,10.81.127.14,1,0,GPSS,-33.6381196975708,11.150121688842773,16.998291015625,,1,203.107.6.88,3,0,646b1972,-30.64095973968506,37.44006156921387,10.0555419921875,,-2.997159957885742,LCK,0,True,True
56,2026-09-17T15:12:11+00:00,1789657931.697654,1,10.81.127.14,1,0,GPSS,-29.019474983215332,8.12077522277832,16.998291015625,,1,203.107.6.88,2,0,0a892656,-32.55605697631836,41.15581512451172,10.5743408203125,,3.5365819931030273,LCK,0,True,True
57,2026-09-17T15:12:21+00:00,1789657941.697790,1,10.81.127.14,1,0,GPSS,-29.706239700317383,4.588127136230469,16.998291015625,,1,203.107.6.88,2,0,0a892656,-28.267264366149902,42.287588119506836,10.528564453125,,-1.4389753341674805,LCK,0,True,True
58,2026-09-17T15:12:31+00:00,1789657951.698038,1,10.81.127.14,1,0,GPSS,-32.730698585510254,13.621091842651367,16.998291015625,,1,203.107.6.88,2,0,0a892656,-27.288079261779785,41.85223579406738,10.55908203125,,-5.442619323730469,LCK,0,True,True
59,2026-09-17T15:12:41+00:00,1789657961.698267,1,10.81.127.14,1,0,GPSS,-29.60515022277832,7.969379425048828,16.998291015625,,1,203.107.6.88,2,0,0a892656,-26.12483501434326,43.41578483581543,10.5438232421875,,-3.4803152084350586,LCK,0,True,True
60,2026-09-17T15:12:51+00:00,1789657971.698334,1,10.81.127.14,1,0,GPSS,-29.48009967803955,5.620241165161133,16.998291015625,,1,203.107.6.88,2,0,0a892656,-24.965286254882812,44.42644119262695,10.589599609375,,-4.514813423156738,LCK,0,True,True
