t,state,holdoverMs,qualityMs,residualMs,freqPpm,tempC,tempRefC,tempCorrPpm,ppsCount,sat,fix,rssi,holdoverSec
0.02,LCK,0,15,0,-10.6567,36.8,36.8,0,585,15,True,-40,300
1.22,LCK,0,15,0,-10.65029,36.8,36.8,0,587,15,True,-43,300
2.04,LCK,0,15,0,-10.64523,36.8,36.8,0,588,15,True,-35,300
3.06,LCK,0,15,0,-10.64118,36.8,36.8,0,589,15,True,-38,300
4.09,LCK,0,15,0,-10.61295,36.8,36.8,0,590,15,True,-35,300
5.12,LCK,0,15,0,-10.56536,36.8,36.8,0,591,15,True,-46,300
6.13,LCK,0,15,0,-10.55229,36.8,36.8,0,592,15,True,-33,300
7.17,LCK,0,15,0,-10.46683,36.8,36.8,0,593,15,True,-34,300
8.19,LCK,0,15,0,-10.49846,36.8,36.8,0,594,15,True,-41,300
9.21,LCK,0,15,0,-10.49877,36.8,36.8,0,595,15,True,-33,300
10.23,LCK,0,15,0,-10.47402,36.8,36.8,0,596,15,True,-31,300
11.05,LCK,0,15,0,-10.52921,36.8,36.8,0,597,15,True,-33,300
12.08,LCK,0,15,0,-10.54837,36.8,36.8,0,598,15,True,-31,300
13.1,LCK,0,15,0,-10.5887,36.8,36.8,0,599,15,True,-31,300
14.12,LCK,0,15,0,-10.62096,36.8,36.8,0,600,15,True,-30,300
15.15,LCK,0,15,0,-10.67177,36.8,36.8,0,601,15,True,-31,300
16.18,LCK,0,15,0,-10.68741,37.8,37.8,0,602,15,True,-32,300
17.2,LCK,0,15,0,-10.64993,36.8,36.8,0,603,15,True,-32,300
18.22,LCK,0,15,0,-10.66994,36.8,36.8,0,604,15,True,-34,300
19.04,LCK,0,15,0,-10.66994,36.8,36.8,0,604,15,True,-33,300
20.06,LCK,0,15,0,-10.65377,37.8,37.8,0,606,15,True,-28,300
21.09,LCK,0,15,0,-10.64801,36.8,36.8,0,607,16,True,-29,300
22.22,LCK,0,15,0,-10.61841,36.8,36.8,0,608,16,True,-31,300
23.24,LCK,0,15,0,-10.64473,36.8,36.8,0,609,16,True,-34,300
24.06,LCK,0,15,0,-10.59078,36.8,36.8,0,610,16,True,-34,300
25.08,LCK,0,15,0,-10.62263,36.8,36.8,0,611,16,True,-33,300
26.11,LCK,0,15,0,-10.5731,36.8,36.8,0,612,16,True,-32,300
27.16,LCK,0,15,0,-10.55848,36.8,36.8,0,613,16,True,-32,300
28.17,LCK,0,15,0,-10.54679,36.8,36.8,0,614,16,True,-33,300
29.18,LCK,0,15,0,-10.51243,36.8,36.8,0,615,16,True,-32,300
30.2,LCK,0,15,0,-10.53494,36.8,36.8,0,616,16,True,-27,300
31.12,LCK,0,15,0,-10.50295,36.8,36.8,0,617,16,True,-33,300
32.05,LCK,0,15,0,-10.55236,36.8,36.8,0,618,16,True,-33,300
33.18,LCK,0,15,0,-10.56689,36.8,36.8,0,619,16,True,-31,300
34.2,LCK,0,15,0,-10.55351,37.8,37.8,0,620,16,True,-33,300
35.23,LCK,0,15,0,-10.56781,36.8,36.8,0,621,16,True,-32,300
36.05,LCK,0,15,0,-10.57925,36.8,36.8,0,622,16,True,-31,300
37.07,LCK,0,15,0,-10.5884,36.8,36.8,0,623,16,True,-30,300
38.09,LCK,0,15,0,-10.57072,36.8,36.8,0,624,16,True,-29,300
39.11,LCK,0,15,0,-10.58158,36.8,36.8,0,625,16,True,-31,300
40.14,LCK,0,15,0,-10.59026,37.8,37.8,0,626,16,True,-27,300
41.05,LCK,0,15,0,-10.54721,37.8,37.8,0,627,16,True,-28,300
42.18,LCK,0,15,0,-10.58777,36.8,36.8,0,628,16,True,-33,300
43.21,LCK,0,15,0,-10.54521,36.8,36.8,0,629,16,True,-30,300
44.24,LCK,0,15,0,-10.48617,36.8,36.8,0,630,16,True,-31,300
45.05,LCK,0,15,0,-10.46394,37.8,37.8,0,631,16,True,-31,300
46.08,LCK,0,15,0,-10.49615,36.8,36.8,0,632,16,True,-31,300
47.1,LCK,0,15,0,-10.52192,36.8,36.8,0,633,16,True,-33,300
48.13,LCK,0,15,0,-10.49254,37.8,37.8,0,634,16,True,-32,300
49.15,LCK,0,15,0,-10.51903,36.8,36.8,0,635,16,True,-32,300
50.27,LCK,0,15,0,-10.56522,36.8,36.8,0,636,16,True,-29,300
51.2,LCK,0,15,0,-10.62718,37.8,37.8,0,637,16,True,-33,300
52.22,LCK,0,15,0,-10.70174,37.8,37.8,0,638,16,True,-30,300
53.04,LCK,0,15,0,-10.70174,36.8,37.8,0.14,638,16,True,-29,300
54.06,LCK,0,15,0,-10.71412,36.8,36.8,0,640,16,True,-32,300
55.09,LCK,0,15,0,-10.72129,36.8,36.8,0,641,16,True,-45,300
56.11,LCK,0,15,0,-10.75204,36.8,36.8,0,642,16,True,-48,300
57.13,LCK,0,15,0,-10.75163,36.8,36.8,0,643,16,True,-46,300
58.17,LCK,0,15,0,-10.7263,36.8,36.8,0,644,16,True,-36,300
59.19,LCK,0,15,0,-10.65604,36.8,36.8,0,645,16,True,-42,300
60.11,LCK,0,15,0,-10.64983,37.8,37.8,0,646,16,True,-32,300
61.23,LCK,0,15,0,-10.66987,36.8,36.8,0,647,16,True,-33,300
62.16,LCK,0,15,0,-10.63589,36.8,36.8,0,648,16,True,-49,300
63.18,LCK,0,15,0,-10.63589,37.8,36.8,-0.14,649,16,True,-46,300
64.21,HLD,320,115,0,-10.63589,36.8,36.8,0,649,16,True,-34,300
65.23,HLD,1345,115,0,-10.63589,36.8,36.8,0,649,16,True,-31,300
66.05,HLD,2165,115,0,-10.63589,36.8,36.8,0,649,16,True,-33,300
67.07,HLD,3185,115,0,-10.63589,36.8,36.8,0,649,16,True,-34,300
68.09,HLD,4210,115,0,-10.63589,36.8,36.8,0,649,16,False,-34,300
69.11,HLD,5231,115,0,-10.63589,38.8,36.8,-0.28,649,16,False,-27,300
70.14,HLD,6261,115,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
71.17,HLD,7286,115,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
72.19,HLD,8306,115,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
73.22,HLD,9331,115,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
74.24,HLD,10356,115,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
75.06,HLD,11176,115,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
76.08,HLD,12201,115,0,-10.63589,36.8,36.8,0,649,16,False,-38,300
77.1,HLD,13222,115,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
78.13,HLD,14247,115,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
79.15,HLD,15267,115,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
80.17,HLD,16293,115,0,-10.63589,37.8,36.8,-0.14,649,16,False,-25,300
81.2,HLD,17313,115,0,-10.63589,37.8,36.8,-0.14,649,16,False,-29,300
82.12,HLD,18243,115,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
83.05,HLD,19163,115,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
84.08,HLD,20189,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
85.1,HLD,21210,116,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
86.12,HLD,22240,116,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
87.14,HLD,23261,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
88.16,HLD,24282,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
89.19,HLD,25307,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
90.22,HLD,26333,116,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
91.24,HLD,27354,116,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
92.05,HLD,28171,116,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
93.08,HLD,29196,116,0,-10.63589,36.8,36.8,0,649,16,False,-32,300
94.1,HLD,30221,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
95.14,HLD,31246,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
96.15,HLD,32272,116,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
97.18,HLD,33287,116,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
98.2,HLD,34317,116,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
99.23,HLD,35342,116,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
100.14,HLD,36257,116,0,-10.63589,36.8,36.8,0,649,16,False,-26,300
101.17,HLD,37283,116,0,-10.63589,37.8,36.8,-0.14,649,16,False,-26,300
102.09,HLD,38208,116,0,-10.63589,37.8,36.8,-0.14,649,16,False,-31,300
103.22,HLD,39334,116,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
104.04,HLD,40154,117,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
105.07,HLD,41179,117,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
106.09,HLD,42200,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-30,300
107.12,HLD,43231,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-30,300
108.14,HLD,44251,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-31,300
109.16,HLD,45278,117,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
110.18,HLD,46298,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-30,300
111.21,HLD,47330,117,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
112.23,HLD,48345,117,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
113.05,HLD,49165,117,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
114.07,HLD,50190,117,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
115.1,HLD,51216,117,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
116.13,HLD,52236,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-31,300
117.14,HLD,53261,117,0,-10.63589,36.8,36.8,0,649,16,False,-33,300
118.17,HLD,54286,117,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
119.2,HLD,55311,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-31,300
120.32,HLD,56436,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-27,300
121.24,HLD,57351,117,0,-10.63589,37.8,36.8,-0.14,649,16,False,-27,300
122.06,HLD,58176,117,0,-10.63589,36.8,36.8,0,649,16,False,-33,300
123.08,HLD,59201,117,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
124.11,HLD,60221,118,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
125.13,HLD,61251,118,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
126.15,HLD,62271,118,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
127.18,HLD,63296,118,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
128.2,HLD,64321,118,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
129.23,HLD,65353,118,0,-10.63589,37.8,36.8,-0.14,649,16,False,-30,300
130.04,HLD,66163,118,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
131.07,HLD,67188,118,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
132.1,HLD,68213,118,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
133.12,HLD,69239,118,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
134.14,HLD,70259,118,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
135.17,HLD,71284,118,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
136.19,HLD,72304,118,0,-10.63589,37.8,36.8,-0.14,649,16,False,-30,300
137.22,HLD,73335,118,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
138.24,HLD,74355,118,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
139.06,HLD,75175,118,0,-10.63589,37.8,36.8,-0.14,649,16,False,-29,300
140.08,HLD,76200,118,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
141.11,HLD,77226,118,0,-10.63589,37.8,36.8,-0.14,649,16,False,-28,300
142.13,HLD,78246,118,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
143.16,HLD,79276,118,0,-10.63589,37.8,36.8,-0.14,649,16,False,-29,300
144.18,HLD,80296,119,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
145.2,HLD,81322,119,0,-10.63589,37.8,36.8,-0.14,649,16,False,-31,300
146.22,HLD,82342,119,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
147.04,HLD,83162,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
148.07,HLD,84187,119,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
149.1,HLD,85214,119,0,-10.63589,37.8,36.8,-0.14,649,16,False,-30,300
150.12,HLD,86234,119,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
151.14,HLD,87259,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
152.19,HLD,88304,119,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
153.18,HLD,89304,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
154.22,HLD,90334,119,0,-10.63589,37.8,36.8,-0.14,649,16,False,-29,300
155.24,HLD,91355,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
156.06,HLD,92175,119,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
157.08,HLD,93195,119,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
158.1,HLD,94221,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
159.12,HLD,95241,119,0,-10.63589,36.8,36.8,0,649,16,False,-31,300
160.15,HLD,96266,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
161.17,HLD,97291,119,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
162.2,HLD,98316,119,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
163.22,HLD,99342,119,0,-10.63589,36.8,36.8,0,649,16,False,-27,300
164.04,HLD,100162,120,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
165.07,HLD,101182,120,0,-10.63589,37.8,36.8,-0.14,649,16,False,-29,300
166.1,HLD,102212,120,0,-10.63589,36.8,36.8,0,649,16,False,-27,300
167.11,HLD,103232,120,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
168.14,HLD,104257,120,0,-10.63589,36.8,36.8,0,649,16,False,-27,300
169.16,HLD,105278,120,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
170.19,HLD,106308,120,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
171.21,HLD,107328,120,0,-10.63589,37.8,36.8,-0.14,649,16,False,-29,300
172.24,HLD,108353,120,0,-10.63589,36.8,36.8,0,649,16,False,-28,300
173.06,HLD,109173,120,0,-10.63589,36.8,36.8,0,649,16,False,-26,300
174.08,HLD,110198,120,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
175.1,HLD,111213,120,0,-10.63589,36.8,36.8,0,649,16,False,-27,300
176.13,HLD,112239,120,0,-10.63589,36.8,36.8,0,649,16,False,-26,300
177.15,HLD,113269,120,0,-10.63589,36.8,36.8,0,649,16,False,-29,300
178.17,HLD,114291,120,0,-10.63589,36.8,36.8,0,649,16,False,-30,300
