t,state,holdoverMs,qualityMs,residualMs,freqPpm,tempC,tempRefC,tempCorrPpm,ppsCount,sat,fix,rssi,holdoverSec
0.02,LCK,0,16,0,-11.60725,40.8,40.8,0,84,17,True,-44,300
1.23,LCK,0,16,0,-11.6108,41.8,41.8,0,85,17,True,-44,300
2.04,LCK,0,16,0,-11.63864,41.8,41.8,0,86,17,True,-48,300
3.07,LCK,0,16,0,-11.66091,41.8,41.8,0,87,17,True,-44,300
4.09,LCK,0,16,0,-11.65373,41.8,41.8,0,88,17,True,-44,300
5.12,LCK,0,16,0,-11.64798,41.8,41.8,0,89,17,True,-47,300
6.14,LCK,0,16,0,-11.69339,41.8,41.8,0,90,17,True,-44,300
7.17,LCK,0,16,0,-11.72971,41.8,41.8,0,91,17,True,-47,300
8.19,LCK,0,16,0,-11.83377,41.8,41.8,0,92,17,True,-47,300
9.21,LCK,0,16,0,-11.81701,41.8,41.8,0,93,17,True,-44,300
10.24,LCK,0,16,0,-11.80361,41.8,41.8,0,94,17,True,-43,300
11.06,LCK,0,16,0,-11.74289,41.8,41.8,0,95,17,True,-45,300
12.08,LCK,0,16,0,-11.71931,41.8,41.8,0,96,17,True,-44,300
13.11,LCK,0,16,0,-11.75045,41.8,41.8,0,97,17,True,-44,300
14.13,LCK,0,16,0,-11.75036,41.8,41.8,0,98,17,True,-46,300
15.15,LCK,0,16,0,-11.72529,41.8,41.8,0,99,17,True,-49,300
16.18,LCK,0,16,0,-11.73023,40.8,40.8,0,100,17,True,-41,300
17.2,LCK,0,16,0,-11.73418,41.8,41.8,0,101,17,True,-43,300
18.23,LCK,0,16,0,-11.76235,41.8,41.8,0,102,17,True,-46,300
19.05,LCK,0,16,0,-11.78488,41.8,41.8,0,103,17,True,-53,300
20.07,LCK,0,16,0,-11.7779,41.8,41.8,0,104,17,True,-49,300
21.09,LCK,0,16,0,-11.77232,41.8,41.8,0,105,17,True,-51,300
22.12,LCK,0,16,0,-11.76786,41.8,41.8,0,106,17,True,-54,300
23.14,LCK,0,16,0,-11.76429,41.8,41.8,0,107,17,True,-53,300
24.16,LCK,0,16,0,-11.76429,41.8,41.8,0,107,17,True,-52,300
25.19,HLD,960,116,0,-11.76429,41.8,41.8,0,107,17,True,-54,300
26.22,HLD,1990,116,0,-11.76429,40.8,41.8,0.14,107,17,True,-53,300
27.24,HLD,3010,116,0,-11.76429,41.8,41.8,0,107,17,True,-47,300
28.06,HLD,3830,116,0,-11.76429,41.8,41.8,0,107,17,False,-39,300
29.08,HLD,4856,116,0,-11.76429,40.8,41.8,0.14,107,17,False,-27,300
30.1,HLD,5877,116,0,-11.76429,41.8,41.8,0,107,17,False,-30,300
31.13,HLD,6902,116,0,-11.76429,41.8,41.8,0,107,17,False,-28,300
32.15,HLD,7928,116,0,-11.76429,41.8,41.8,0,107,17,False,-30,300
33.18,HLD,8949,116,0,-11.76429,41.8,41.8,0,107,17,False,-29,300
34.2,HLD,9974,116,0,-11.76429,40.8,41.8,0.14,107,17,False,-29,300
35.84,HLD,11614,116,0,-11.76429,41.8,41.8,0,107,17,False,-28,300
36.04,HLD,11815,116,0,-11.76429,41.8,41.8,0,107,17,False,-35,300
37.07,HLD,12840,116,0,-11.76429,40.8,41.8,0.14,107,17,False,-28,300
38.09,HLD,13867,116,0,-11.76429,41.8,41.8,0,107,17,False,-28,300
39.11,HLD,14888,116,0,-11.76429,40.8,41.8,0.14,107,17,False,-27,300
