t,state,holdoverMs,qualityMs,residualMs,freqPpm,tempC,tempRefC,tempCorrPpm,ppsCount,sat,fix,rssi,holdoverSec
0.02,LCK,0,16,0,-11.70283,40.8,40.8,0,335,17,True,-28,300
1.23,LCK,0,16,0,-11.67981,41.8,41.8,0,337,17,True,-28,300
2.05,LCK,0,16,0,-11.67981,40.8,41.8,0.14,337,17,True,-27,300
3.07,LCK,0,16,0,-11.66885,40.8,40.8,0,338,17,True,-28,300
4.09,LCK,0,16,0,-11.61306,40.8,40.8,0,340,17,True,-28,300
5.12,LCK,0,16,0,-11.61545,40.8,40.8,0,341,17,True,-28,300
6.14,LCK,0,16,0,-11.59236,40.8,40.8,0,342,17,True,-27,300
8.18,LCK,0,16,0,-11.62911,41.8,41.8,0,344,17,True,-27,300
8.22,LCK,0,16,0,-11.62911,41.8,41.8,0,344,17,True,-27,300
9.23,LCK,0,16,0,-11.65329,40.8,40.8,0,345,17,True,-26,300
10.24,LCK,0,16,0,-11.64763,41.8,41.8,0,346,17,True,-33,300
11.06,LCK,0,16,0,-11.64763,41.8,41.8,0,346,17,True,-28,300
12.08,LCK,0,16,0,-11.69311,41.8,41.8,0,347,17,True,-28,300
13.11,LCK,0,16,0,-11.68859,40.8,40.8,0,349,17,True,-27,300
14.13,LCK,0,16,0,-11.72587,40.8,40.8,0,350,17,True,-28,300
15.15,LCK,0,16,0,-11.7057,41.8,41.8,0,351,17,True,-29,300
16.18,LCK,0,16,0,-11.68956,41.8,41.8,0,352,17,True,-28,300
17.21,LCK,0,16,0,-11.65165,41.8,41.8,0,353,17,True,-26,300
18.23,LCK,0,16,0,-11.67132,41.8,41.8,0,354,17,True,-25,300
19.05,LCK,0,16,0,-11.67132,41.8,41.8,0,354,17,True,-25,300
20.08,LCK,0,16,0,-11.71205,40.8,41.8,0.14,355,17,True,-33,300
21.1,LCK,0,16,0,-11.68571,41.8,41.8,0,357,17,True,-52,300
22.12,LCK,0,16,0,-11.69857,41.8,41.8,0,358,17,True,-44,300
23.14,LCK,0,16,0,-11.70886,41.8,41.8,0,359,17,True,-46,300
24.16,LCK,0,16,0,-11.74209,41.8,41.8,0,360,17,True,-48,300
25.19,LCK,0,16,0,-11.76867,40.8,40.8,0,361,17,True,-55,300
26.22,LCK,0,16,0,-11.76494,41.8,41.8,0,362,17,True,-54,300
27.24,LCK,0,16,0,-11.73695,41.8,41.8,0,363,17,True,-55,300
28.05,LCK,0,16,0,-11.73695,40.8,41.8,0.14,363,17,True,-48,300
29.08,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,True,-48,300
30.1,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,True,-47,300
31.13,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,True,-49,300
32.15,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,False,-52,300
33.18,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,False,-31,300
34.2,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,False,-47,300
35.22,UNS,0,4294967295,0,-11.73695,41.8,41.8,0,363,17,False,-33,300
