t,state,holdoverMs,qualityMs,residualMs,freqPpm,tempC,tempRefC,tempCorrPpm,ppsCount,sat,fix,rssi,holdoverSec
0.03,LCK,0,17,0,-12.01838,42.8,42.8,0,55,14,True,-29,1800
1.23,LCK,0,16,0,-11.98971,42.8,42.8,0,56,14,True,-29,1800
2.05,LCK,0,16,0,-11.96677,42.8,42.8,0,57,14,True,-29,1800
3.08,LCK,0,16,0,-11.94841,42.8,42.8,0,58,14,True,-30,1800
4.11,LCK,0,16,0,-11.88373,42.8,42.8,0,59,14,True,-28,1800
5.12,LCK,0,16,0,-11.90699,42.8,42.8,0,60,14,True,-30,1800
6.15,LCK,0,16,0,-11.87559,42.8,42.8,0,61,14,True,-30,1800
7.18,LCK,0,16,0,-11.87547,43.8,42.8,-0.14,62,14,True,-29,1800
8.2,LCK,0,16,0,-11.90038,42.8,43.8,0.14,63,14,True,-30,1800
9.22,LCK,0,16,0,-11.9203,42.8,42.8,0,64,14,True,-29,1800
10.04,LCK,0,16,0,-11.93624,42.8,42.8,0,65,14,True,-30,1800
11.06,LCK,0,16,0,-11.94899,42.8,42.8,0,66,14,True,-30,1800
12.08,LCK,0,17,0,-12.0092,42.8,42.8,0,67,14,True,-29,1800
13.11,LCK,0,16,0,-11.98236,42.8,42.8,0,68,14,True,-28,1800
14.13,LCK,0,16,0,-11.96089,42.8,42.8,0,69,14,True,-28,1800
15.17,LCK,0,16,0,-11.96871,42.8,42.8,0,70,14,True,-29,1800
16.18,LCK,0,16,0,-11.97497,42.8,42.8,0,71,14,True,-28,1800
17.21,LCK,0,16,0,-11.97997,42.8,42.8,0,72,14,True,-28,1800
18.23,LCK,0,16,0,-11.98398,42.8,42.8,0,73,14,True,-28,1800
19.05,LCK,0,16,0,-11.98718,42.8,42.8,0,74,14,True,-29,1800
20.07,LCK,0,16,0,-11.98975,42.8,42.8,0,75,14,True,-30,1800
21.1,LCK,0,17,0,-12.0168,42.8,42.8,0,76,14,True,-30,1800
22.12,LCK,0,17,0,-12.06344,42.8,42.8,0,77,14,True,-30,1800
23.14,LCK,0,17,0,-12.05075,42.8,42.8,0,78,14,True,-29,1800
24.17,LCK,0,17,0,-12.0406,42.8,42.8,0,79,14,True,-29,1800
25.19,LCK,0,17,0,-12.03248,42.8,42.8,0,80,14,True,-29,1800
26.22,LCK,0,17,0,-12.00099,42.8,42.8,0,81,14,True,-29,1800
27.24,LCK,0,17,0,-12.00079,42.8,42.8,0,82,14,True,-29,1800
28.07,LCK,0,17,0,-12.00063,42.8,42.8,0,83,14,True,-30,1800
29.08,LCK,0,17,0,-12.00051,42.8,42.8,0,84,14,True,-28,1800
30.11,LCK,0,17,0,-12.0004,42.8,42.8,0,85,14,True,-29,1800
31.13,LCK,0,17,0,-12.00032,42.8,42.8,0,86,14,True,-29,1800
32.16,LCK,0,17,0,-12.00026,42.8,42.8,0,87,14,True,-28,1800
33.18,LCK,0,17,0,-12.00021,42.8,42.8,0,88,14,True,-27,1800
36.24,LCK,0,16,0,-11.83911,42.8,42.8,0,91,14,True,-28,1800
36.27,LCK,0,16,0,-11.83911,42.8,42.8,0,91,14,True,-28,1800
36.29,LCK,0,16,0,-11.82129,42.8,42.8,0,92,14,True,-28,1800
37.07,LCK,0,16,0,-11.82129,43.8,42.8,-0.14,92,14,True,-27,1800
38.09,LCK,0,16,0,-11.85703,42.8,43.8,0.14,93,14,True,-27,1800
39.12,LCK,0,16,0,-11.88562,42.8,42.8,0,94,14,True,-26,1800
40.15,LCK,0,16,0,-11.9085,42.8,42.8,0,95,14,True,-26,1800
41.16,LCK,0,16,0,-11.9268,42.8,42.8,0,96,14,True,-26,1800
42.2,LCK,0,16,0,-11.94144,42.8,42.8,0,97,14,True,-27,1800
43.22,LCK,0,16,0,-11.95315,42.8,42.8,0,98,14,True,-27,1800
44.24,LCK,0,17,0,-12.08752,42.8,42.8,0,99,14,True,-30,1800
45.06,LCK,0,17,0,-12.09502,42.8,42.8,0,100,14,True,-28,1800
46.08,LCK,0,17,0,-12.07601,42.8,42.8,0,101,14,True,-28,1800
47.1,LCK,0,17,0,-12.01081,42.8,42.8,0,102,14,True,-27,1800
48.13,LCK,0,16,0,-11.98365,42.8,42.8,0,103,14,True,-30,1800
49.16,LCK,0,16,0,-11.98692,42.8,42.8,0,104,14,True,-30,1800
50.18,LCK,0,16,0,-11.98954,42.8,42.8,0,105,14,True,-30,1800
51.2,LCK,0,17,0,-12.01663,42.8,42.8,0,106,14,True,-28,1800
52.23,LCK,0,17,0,-12.0133,42.8,42.8,0,107,14,True,-30,1800
53.05,LCK,0,17,0,-12.01064,42.8,42.8,0,108,14,True,-29,1800
54.07,LCK,0,17,0,-12.00851,42.8,42.8,0,109,14,True,-29,1800
55.1,LCK,0,17,0,-12.05681,42.8,42.8,0,110,14,True,-30,1800
56.12,LCK,0,17,0,-12.07045,42.8,42.8,0,111,14,True,-30,1800
57.14,LCK,0,17,0,-12.03136,42.8,42.8,0,112,14,True,-29,1800
58.17,LCK,0,17,0,-12.07509,42.8,42.8,0,113,14,True,-29,1800
59.19,LCK,0,17,0,-12.06007,42.8,42.8,0,114,13,True,-30,1800
60.21,LCK,0,17,0,-12.04806,42.8,42.8,0,115,13,True,-29,1800
61.24,LCK,0,17,0,-12.03845,42.8,42.8,0,116,13,True,-29,1800
62.06,LCK,0,17,0,-12.03076,42.8,42.8,0,117,13,True,-29,1800
63.08,LCK,0,17,0,-12.02461,42.8,42.8,0,118,13,True,-36,1800
64.1,LCK,0,17,0,-12.01968,42.8,42.8,0,119,13,True,-30,1800
65.13,LCK,0,17,0,-12.04075,42.8,42.8,0,120,13,True,-29,1800
66.15,LCK,0,17,0,-12.0076,42.8,42.8,0,121,13,True,-30,1800
67.18,LCK,0,17,0,-12.00608,43.8,42.8,-0.14,122,14,True,-36,1800
68.2,LCK,0,17,0,-12.00486,42.8,43.8,0.14,123,14,True,-30,1800
69.22,LCK,0,17,0,-12.02889,42.8,42.8,0,124,14,True,-29,1800
70.04,LCK,0,17,0,-12.02311,42.8,42.8,0,125,14,True,-28,1800
71.07,LCK,0,17,0,-12.01849,42.8,42.8,0,126,14,True,-30,1800
72.09,LCK,0,17,0,-12.01479,42.8,42.8,0,127,14,True,-30,1800
73.11,LCK,0,17,0,-12.03683,42.8,42.8,0,128,14,True,-29,1800
74.14,LCK,0,17,0,-12.07947,42.8,42.8,0,129,14,True,-30,1800
75.16,LCK,0,17,0,-12.08857,42.8,42.8,0,130,14,True,-29,1800
76.19,LCK,0,17,0,-12.09586,42.8,42.8,0,131,14,True,-30,1800
77.22,LCK,0,17,0,-12.02669,42.8,42.8,0,132,14,True,-29,1800
78.24,LCK,0,17,0,-12.02135,42.8,42.8,0,133,14,True,-28,1800
79.05,LCK,0,17,0,-12.04208,42.8,42.8,0,134,14,True,-29,1800
80.08,LCK,0,17,0,-12.05866,42.8,42.8,0,135,14,True,-29,1800
81.11,LCK,0,17,0,-12.04693,42.8,42.8,0,136,14,True,-35,1800
82.13,LCK,0,17,0,-12.03755,43.8,42.8,-0.14,137,14,True,-29,1800
83.16,LCK,0,17,0,-12.03004,42.8,43.8,0.14,138,14,True,-30,1800
84.17,LCK,0,17,0,-12.02403,42.8,42.8,0,139,14,True,-28,1800
85.2,LCK,0,17,0,-12.09422,42.8,42.8,0,140,14,True,-28,1800
86.22,LCK,0,17,0,-12.10038,42.8,42.8,0,141,14,True,-29,1800
87.05,LCK,0,17,0,-12.0803,42.8,42.8,0,142,14,True,-27,1800
88.07,LCK,0,17,0,-12.06424,42.8,42.8,0,143,14,True,-28,1800
89.09,LCK,0,17,0,-12.05139,42.8,42.8,0,144,14,True,-60,1800
90.11,LCK,0,17,0,-12.04112,42.8,42.8,0,145,14,True,-49,1800
91.14,LCK,0,17,0,-12.03289,42.8,42.8,0,146,14,True,-53,1800
92.16,LCK,0,17,0,-12.02631,42.8,42.8,0,147,14,True,-49,1800
93.18,LCK,0,17,0,-12.02105,42.8,42.8,0,148,14,True,-62,1800
94.21,HLD,421,117,0,-12.02105,42.8,42.8,0,148,14,True,-48,1800
95.23,HLD,1446,117,0,-12.02105,42.8,42.8,0,148,14,True,-50,1800
96.06,HLD,2266,117,0,-12.02105,42.8,42.8,0,148,14,True,-48,1800
97.08,HLD,3286,117,0,-12.02105,42.8,42.8,0,148,14,True,-54,1800
98.1,HLD,4312,117,0,-12.02105,42.8,42.8,0,148,14,False,-42,1800
99.12,HLD,5333,117,0,-12.02105,42.8,42.8,0,148,14,False,-34,1800
100.14,HLD,6353,117,0,-12.02105,42.8,42.8,0,148,14,False,-58,1800
101.17,HLD,7384,117,0,-12.02105,42.8,42.8,0,148,14,False,-53,1800
102.2,HLD,8410,117,0,-12.02105,42.8,42.8,0,148,14,False,-48,1800
103.22,HLD,9430,117,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
104.05,HLD,10256,117,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
105.07,HLD,11281,117,0,-12.02105,42.8,42.8,0,148,14,False,-52,1800
106.09,HLD,12297,117,0,-12.02105,42.8,42.8,0,148,14,False,-44,1800
107.11,HLD,13322,117,0,-12.02105,42.8,42.8,0,148,14,False,-47,1800
108.14,HLD,14347,117,0,-12.02105,42.8,42.8,0,148,14,False,-48,1800
109.16,HLD,15366,117,0,-12.02105,42.8,42.8,0,148,14,False,-48,1800
110.18,HLD,16392,117,0,-12.02105,42.8,42.8,0,148,14,False,-39,1800
111.21,HLD,17417,117,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
112.23,HLD,18443,117,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
113.05,HLD,19259,117,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
114.08,HLD,20284,118,0,-12.02105,43.8,42.8,-0.14,148,14,False,-45,1800
115.1,HLD,21305,118,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
116.13,HLD,22341,118,0,-12.02105,42.8,42.8,0,148,14,False,-54,1800
117.15,HLD,23357,118,0,-12.02105,42.8,42.8,0,148,14,False,-56,1800
118.99,HLD,25199,118,0,-12.02105,42.8,42.8,0,148,14,False,-47,1800
119.02,HLD,25229,118,0,-12.02105,42.8,42.8,0,148,14,False,-47,1800
120.22,HLD,26434,118,0,-12.02105,42.8,42.8,0,148,14,False,-51,1800
121.04,HLD,27256,118,0,-12.02105,44.8,42.8,-0.28,148,14,False,-46,1800
122.1,HLD,28306,118,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
123.09,HLD,29298,118,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
124.11,HLD,30320,118,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
125.14,HLD,31345,118,0,-12.02105,44.8,42.8,-0.28,148,14,False,-45,1800
126.16,HLD,32370,118,0,-12.02105,43.8,42.8,-0.14,148,14,False,-45,1800
127.18,HLD,33392,118,0,-12.02105,43.8,42.8,-0.14,148,14,False,-45,1800
128.21,HLD,34417,118,0,-12.02105,43.8,42.8,-0.14,148,14,False,-45,1800
129.23,HLD,35440,118,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
130.05,HLD,36260,118,0,-12.02105,43.8,42.8,-0.14,148,14,False,-46,1800
131.08,HLD,37291,118,0,-12.02105,42.8,42.8,0,148,14,False,-46,1800
132.1,HLD,38308,118,0,-12.02105,42.8,42.8,0,148,14,False,-45,1800
133.12,HLD,39329,118,0,-12.02105,43.8,42.8,-0.14,148,14,False,-46,1800
134.15,HLD,40355,119,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
135.17,HLD,41382,119,0,-12.02105,44.8,42.8,-0.28,148,14,False,-51,1800
136.2,HLD,42408,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
137.03,HLD,43243,119,0,-12.02105,43.8,42.8,-0.14,148,14,False,-49,1800
138.04,HLD,44253,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
139.06,HLD,45269,119,0,-12.02105,42.8,42.8,0,148,14,False,-48,1800
140.09,HLD,46299,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
141.11,HLD,47320,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
142.13,HLD,48341,119,0,-12.02105,42.8,42.8,0,148,14,False,-51,1800
143.16,HLD,49366,119,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
144.19,HLD,50396,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
145.21,HLD,51421,119,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
146.23,HLD,52437,119,0,-12.02105,42.8,42.8,0,148,14,False,-51,1800
147.05,HLD,53258,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
148.07,HLD,54283,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
149.1,HLD,55314,119,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
150.12,HLD,56330,119,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
151.15,HLD,57355,119,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
152.17,HLD,58381,119,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
153.2,HLD,59406,119,0,-12.02105,42.8,42.8,0,148,14,False,-51,1800
154.22,HLD,60427,120,0,-12.02105,42.8,42.8,0,148,14,False,-52,1800
155.04,HLD,61244,120,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
156.06,HLD,62274,120,0,-12.02105,42.8,42.8,0,148,14,False,-55,1800
157.49,HLD,63704,120,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
158.11,HLD,64315,120,0,-12.02105,42.8,42.8,0,148,14,False,-51,1800
159.13,HLD,65340,120,0,-12.02105,42.8,42.8,0,148,14,False,-48,1800
160.16,HLD,66365,120,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
161.02,HLD,67231,120,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
162.21,HLD,68412,120,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
163.05,HLD,69253,120,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
164.05,HLD,70255,120,0,-12.02105,42.8,42.8,0,148,14,False,-51,1800
165.09,HLD,71300,120,0,-12.02105,42.8,42.8,0,148,14,False,-30,1800
166.1,HLD,72305,120,0,-12.02105,42.8,42.8,0,148,14,False,-34,1800
167.12,HLD,73326,120,0,-12.02105,42.8,42.8,0,148,14,False,-50,1800
168.14,HLD,74352,120,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
169.02,HLD,75232,120,0,-12.02105,42.8,42.8,0,148,14,False,-55,1800
170.19,HLD,76398,120,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
171.03,HLD,77243,120,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
172.24,HLD,78448,120,0,-12.02105,42.8,42.8,0,148,14,False,-49,1800
173.08,HLD,79293,120,0,-12.02105,42.8,42.8,0,148,14,False,-66,1800
174.09,HLD,80299,121,0,-12.02105,42.8,42.8,0,148,14,False,-54,1800
175.16,HLD,81369,121,0,-12.02105,42.8,42.8,0,148,14,False,-72,1800
176.15,HLD,82339,121,0,-12.02105,43.8,42.8,-0.14,148,14,False,-61,1800
177.08,HLD,83285,121,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
178.18,HLD,84390,121,0,-12.02105,42.8,42.8,0,148,14,False,-59,1800
179.03,HLD,85236,121,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
180.23,HLD,86437,121,0,-12.02105,42.8,42.8,0,148,14,False,-65,1800
181.07,HLD,87278,121,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
182.07,HLD,88278,121,0,-12.02105,42.8,42.8,0,148,14,False,-60,1800
183.09,HLD,89303,121,0,-12.02105,42.8,42.8,0,148,14,False,-69,1800
184.12,HLD,90325,121,0,-12.02105,42.8,42.8,0,148,14,False,-66,1800
185.29,HLD,91460,121,0,-12.02105,42.8,42.8,0,148,14,False,-59,1800
186.16,HLD,92375,121,0,-12.02105,43.8,42.8,-0.14,148,14,False,-59,1800
187.11,HLD,93323,121,0,-12.02105,42.8,42.8,0,148,14,False,-60,1800
188.22,HLD,94423,121,0,-12.02105,42.8,42.8,0,148,14,False,-65,1800
189.06,HLD,95269,121,0,-12.02105,42.8,42.8,0,148,14,False,-64,1800
190.06,HLD,96265,121,0,-12.02105,42.8,42.8,0,148,14,False,-64,1800
191.1,HLD,97315,121,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
192.11,HLD,98316,121,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
193.13,HLD,99337,121,0,-12.02105,42.8,42.8,0,148,14,False,-68,1800
194.16,HLD,100363,122,0,-12.02105,42.8,42.8,0,148,14,False,-64,1800
195.02,HLD,101235,122,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
196.31,HLD,102515,122,0,-12.02105,42.8,42.8,0,148,14,False,-67,1800
197.24,HLD,103446,122,0,-12.02105,43.8,42.8,-0.14,148,14,False,-65,1800
198.15,HLD,104357,122,0,-12.02105,42.8,42.8,0,148,14,False,-60,1800
199.19,HLD,105398,122,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
200.2,HLD,106413,122,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
201.23,HLD,107428,122,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
202.06,HLD,108265,122,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
203.07,HLD,109280,122,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
204.09,HLD,110298,122,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
205.14,HLD,111348,122,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
206.19,HLD,112348,122,0,-12.02105,42.8,42.8,0,148,14,False,-67,1800
207.06,HLD,113264,122,0,-12.02105,42.8,42.8,0,148,14,False,-68,1800
208.19,HLD,114395,122,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
209.21,HLD,115415,122,0,-12.02105,42.8,42.8,0,148,14,False,-64,1800
210.24,HLD,116446,122,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
211.05,HLD,117262,122,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
212.08,HLD,118282,122,0,-12.02105,42.8,42.8,0,148,14,False,-64,1800
213.1,HLD,119312,122,0,-12.02105,42.8,42.8,0,148,14,False,-64,1800
214.12,HLD,120333,123,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
215.25,HLD,121454,123,0,-12.02105,42.8,42.8,0,148,14,False,-66,1800
216.23,HLD,122384,123,0,-12.02105,42.8,42.8,0,148,14,False,-68,1800
217.2,HLD,123410,123,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
218.12,HLD,124327,123,0,-12.02105,42.8,42.8,0,148,14,False,-61,1800
219.14,HLD,125348,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
221.61,HLD,127814,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
221.64,HLD,127844,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
222.22,HLD,128424,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
223.24,HLD,129450,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
224.06,HLD,130265,123,0,-12.02105,42.8,42.8,0,148,14,False,-65,1800
225.08,HLD,131286,123,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
226.11,HLD,132317,123,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
227.13,HLD,133337,123,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
228.15,HLD,134362,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
229.18,HLD,135387,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
230.21,HLD,136412,123,0,-12.02105,42.8,42.8,0,148,14,False,-69,1800
231.23,HLD,137433,123,0,-12.02105,42.8,42.8,0,148,14,False,-62,1800
232.05,HLD,138254,123,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
233.07,HLD,139274,123,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
234.09,HLD,140301,124,0,-12.02105,42.8,42.8,0,148,14,False,-63,1800
