# clock_trace bin2csv rows=1962 seqEnd=1962 dropped=0
seq,uptimeMs,utcEpoch,ppsCount,residualMs,holdoverMs,freqPpm,tempC,tempCorrPpm,qualityMs,state,ppsFresh,timeValid,tempComp,satellites
0,53295,1789969350,53,0,0,-12.0053,42.80,-0.000,17,1,1,1,1,14
1,54240,1789969351,54,0,0,-12.0542,42.80,-0.000,17,1,1,1,1,14
2,55240,1789969352,55,0,0,-12.0184,42.80,-0.000,17,1,1,1,1,14
3,56240,1789969353,56,0,0,-11.9897,42.80,-0.000,16,1,1,1,1,14
4,57240,1789969354,57,0,0,-11.9668,42.80,-0.000,16,1,1,1,1,14
5,58240,1789969355,58,0,0,-11.9484,42.80,-0.000,16,1,1,1,1,14
6,59240,1789969356,59,0,0,-11.8837,42.80,-0.000,16,1,1,1,1,14
7,60240,1789969357,60,0,0,-11.9070,42.80,-0.000,16,1,1,1,1,14
8,61240,1789969358,61,0,0,-11.8756,42.80,-0.000,16,1,1,1,1,14
9,62239,1789969359,62,0,0,-11.8755,42.80,-0.000,16,1,1,1,1,14
10,63239,1789969359,62,0,0,-11.8755,43.80,-0.140,16,1,1,1,1,14
11,63239,1789969360,63,0,0,-11.9004,43.80,-0.000,16,1,1,1,1,14
12,64239,1789969361,64,0,0,-11.9203,42.80,-0.000,16,1,1,1,1,14
13,65240,1789969362,65,0,0,-11.9362,42.80,-0.000,16,1,1,1,1,14
14,66240,1789969363,66,0,0,-11.9490,42.80,-0.000,16,1,1,1,1,14
15,67239,1789969364,67,0,0,-12.0092,42.80,-0.000,17,1,1,1,1,14
16,68239,1789969364,67,0,0,-12.0092,42.80,-0.000,17,1,1,1,1,14
17,68240,1789969365,68,0,0,-11.9824,42.80,-0.000,16,1,1,1,1,14
18,69240,1789969366,69,0,0,-11.9609,42.80,-0.000,16,1,1,1,1,14
19,70240,1789969367,70,0,0,-11.9687,42.80,-0.000,16,1,1,1,1,14
20,71239,1789969368,71,0,0,-11.9750,42.80,-0.000,16,1,1,1,1,14
21,72239,1789969369,72,0,0,-11.9800,42.80,-0.000,16,1,1,1,1,14
22,73239,1789969370,73,0,0,-11.9840,42.80,-0.000,16,1,1,1,1,14
23,74239,1789969371,74,0,0,-11.9872,42.80,-0.000,16,1,1,1,1,14
24,75239,1789969372,75,0,0,-11.9897,42.80,-0.000,16,1,1,1,1,14
25,76239,1789969373,76,0,0,-12.0168,42.80,-0.000,17,1,1,1,1,14
26,77239,1789969374,77,0,0,-12.0634,42.80,-0.000,17,1,1,1,1,14
27,78239,1789969375,78,0,0,-12.0508,42.80,-0.000,17,1,1,1,1,14
28,79239,1789969376,79,0,0,-12.0406,42.80,-0.000,17,1,1,1,1,14
29,80239,1789969377,80,0,0,-12.0325,42.80,-0.000,17,1,1,1,1,14
30,81239,1789969378,81,0,0,-12.0325,42.80,-0.000,17,1,1,1,1,14
