t,state,holdoverMs,qualityMs,residualMs,freqPpm,tempC,tempRefC,tempCorrPpm,ppsCount,sat,fix,rssi,holdoverSec
0.02,LCK,0,17,0,-12.24979,47.8,47.8,0,1142,17,True,-42,300
1.02,LCK,0,17,0,-12.24984,47.8,47.8,0,1143,17,True,-38,300
2.02,LCK,0,17,0,-12.24987,47.8,47.8,0,1144,16,True,-39,300
3.02,LCK,0,17,0,-12.22489,47.8,47.8,0,1145,16,True,-42,300
4.02,LCK,0,17,0,-12.22992,47.8,47.8,0,1146,16,True,-40,300
5.02,LCK,0,17,0,-12.23393,47.8,47.8,0,1147,16,True,-38,300
6.03,LCK,0,17,0,-12.23715,47.8,47.8,0,1148,16,True,-38,300
7.02,LCK,0,17,0,-12.21472,47.8,47.8,0,1149,16,True,-40,300
8.02,LCK,0,17,0,-12.12177,47.8,47.8,0,1150,16,True,-41,300
9.03,LCK,0,17,0,-12.14742,47.8,47.8,0,1151,16,True,-44,300
10.03,LCK,0,17,0,-12.14294,47.8,47.8,0,1152,16,True,-43,300
11.03,LCK,0,17,0,-12.18935,47.8,47.8,0,1153,16,True,-40,300
12.04,LCK,0,17,0,-12.20148,47.8,47.8,0,1154,16,True,-42,300
13.02,LCK,0,17,0,-12.21118,47.8,47.8,0,1155,16,True,-42,300
14.02,LCK,0,17,0,-12.19395,47.8,47.8,0,1156,16,True,-41,300
15.02,LCK,0,17,0,-12.23016,47.8,47.8,0,1157,16,True,-41,300
16.02,LCK,0,17,0,-12.33413,47.8,47.8,0,1158,16,True,-41,300
17.02,LCK,0,17,0,-12.3173,47.8,47.8,0,1159,16,True,-41,300
18.04,LCK,0,17,0,-12.30384,47.8,47.8,0,1160,16,True,-41,300
19.02,LCK,0,17,0,-12.29307,47.8,47.8,0,1161,16,True,-40,300
20.02,LCK,0,17,0,-12.28446,47.8,47.8,0,1162,16,True,-41,300
21.02,LCK,0,17,0,-12.27757,47.8,47.8,0,1163,16,True,-46,300
30.03,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
30.06,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
30.08,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
30.1,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
30.13,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
30.15,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
30.17,LCK,0,17,0,-12.2537,47.8,47.8,0,1172,16,True,-40,300
31.02,LCK,0,17,0,-12.25296,47.8,47.8,0,1173,16,True,-40,300
32.03,LCK,0,17,0,-12.25237,47.8,47.8,0,1174,16,True,-40,300
33.03,LCK,0,17,0,-12.25189,47.8,47.8,0,1175,16,True,-39,300
34.02,LCK,0,17,0,-12.25152,47.8,47.8,0,1176,16,True,-40,300
35.02,LCK,0,17,0,-12.25121,47.8,47.8,0,1177,16,True,-39,300
36.02,LCK,0,17,0,-12.25097,47.8,47.8,0,1178,16,True,-42,300
37.02,LCK,0,17,0,-12.25078,47.8,47.8,0,1179,16,True,-42,300
38.02,LCK,0,17,0,-12.25062,47.8,47.8,0,1180,16,True,-42,300
39.02,LCK,0,17,0,-12.2255,47.8,47.8,0,1181,16,True,-40,300
40.02,LCK,0,17,0,-12.2304,47.8,47.8,0,1182,16,True,-42,300
41.03,LCK,0,17,0,-12.23432,47.8,47.8,0,1183,16,True,-41,300
42.02,LCK,0,17,0,-12.23746,47.8,47.8,0,1184,16,True,-43,300
43.02,LCK,0,17,0,-12.21496,47.8,47.8,0,1185,16,True,-43,300
44.04,LCK,0,17,0,-12.22197,47.8,47.8,0,1186,16,True,-38,300
45.03,LCK,0,17,0,-12.22758,47.8,47.8,0,1187,16,True,-41,300
46.03,LCK,0,17,0,-12.23206,47.8,47.8,0,1188,16,True,-41,300
47.02,LCK,0,17,0,-12.23565,47.8,47.8,0,1189,16,True,-41,300
48.02,LCK,0,17,0,-12.23852,47.8,47.8,0,1190,16,True,-44,300
49.03,LCK,0,17,0,-12.24082,47.8,47.8,0,1191,16,True,-42,300
50.03,LCK,0,17,0,-12.24265,47.8,47.8,0,1192,16,True,-42,300
51.02,LCK,0,17,0,-12.24412,47.8,47.8,0,1193,16,True,-43,300
52.03,LCK,0,17,0,-12.2453,47.8,47.8,0,1194,16,True,-42,300
53.02,LCK,0,17,0,-12.24624,47.8,47.8,0,1195,16,True,-42,300
54.02,LCK,0,17,0,-12.24699,47.8,47.8,0,1196,16,True,-46,300
55.02,LCK,0,17,0,-12.24759,47.8,47.8,0,1197,16,True,-42,300
56.02,LCK,0,17,0,-12.24808,47.8,47.8,0,1198,16,True,-44,300
57.02,LCK,0,17,0,-12.24846,47.8,47.8,0,1199,16,True,-45,300
58.02,LCK,0,17,0,-12.24877,47.8,47.8,0,1200,16,True,-42,300
59.01,LCK,0,17,0,-12.24901,47.8,47.8,0,1201,16,True,-43,300
60.02,LCK,0,17,0,-12.24921,47.8,47.8,0,1202,16,True,-46,300
61.02,LCK,0,17,0,-12.24937,47.8,47.8,0,1203,16,True,-43,300
62.02,LCK,0,17,0,-12.2495,47.8,47.8,0,1204,16,True,-39,300
63.02,LCK,0,17,0,-12.2496,47.8,47.8,0,1205,16,True,-42,300
64.02,LCK,0,17,0,-12.24968,47.8,47.8,0,1206,16,True,-43,300
65.02,LCK,0,17,0,-12.24974,47.8,47.8,0,1207,16,True,-43,300
66.02,LCK,0,17,0,-12.24979,47.8,47.8,0,1208,16,True,-42,300
67.02,LCK,0,17,0,-12.24984,48.8,47.8,0,1209,16,True,-43,300
68.02,LCK,0,17,0,-12.24987,47.8,48.8,0,1210,16,True,-42,300
69.02,LCK,0,17,0,-12.2499,47.8,47.8,0,1211,16,True,-45,300
70.03,LCK,0,17,0,-12.24992,47.8,47.8,0,1212,16,True,-42,300
71.03,LCK,0,17,0,-12.24993,47.8,47.8,0,1213,16,True,-42,300
72.02,LCK,0,17,0,-12.24995,47.8,47.8,0,1214,16,True,-42,300
73.03,LCK,0,17,0,-12.24996,47.8,47.8,0,1215,16,True,-43,300
74.03,LCK,0,17,0,-12.24997,47.8,47.8,0,1216,16,True,-39,300
75.02,LCK,0,17,0,-12.24997,47.8,47.8,0,1217,16,True,-39,300
76.04,LCK,0,17,0,-12.24998,48.8,47.8,0,1218,16,True,-44,300
77.02,LCK,0,17,0,-12.24998,47.8,48.8,0,1219,16,True,-44,300
78.02,LCK,0,17,0,-12.24999,47.8,47.8,0,1220,16,True,-44,300
79.02,LCK,0,17,0,-12.24999,48.8,47.8,0,1221,16,True,-43,300
80.03,LCK,0,17,0,-12.24999,47.8,48.8,0,1222,16,True,-42,300
81.02,LCK,0,17,0,-12.24999,47.8,47.8,0,1223,16,True,-42,300
